Wind,Hour,BikeAvailability
Low,0,0.302833333
Low,1,0.275
Low,2,0.296
Low,3,0.285185185
Low,4,0.27
Low,5,0.286882716
Low,6,0.318108974
Low,7,0.33525641
Low,8,0.379741379
Low,9,0.416522989
Low,10,0.398511905
Low,11,0.41889881
Low,12,0.404017857
Low,13,0.436350575
Low,14,0.470386905
Low,15,0.504938272
Low,16,0.508333333
Low,17,0.510897436
Low,18,0.461728395
Low,19,0.405654762
Low,20,0.37037037
Low,21,0.355092593
Low,22,0.306076389
Low,23,0.290277778
High,0,0.424166667
High,1,0.508333333
High,2,0.45
High,3,0.65
High,4,0.58
High,5,0.525
High,6,0.528125
High,7,0.686458333
High,8,0.858333333
High,9,0.829166667
High,10,0.85
High,11,0.888888889
High,12,0.569444444
High,13,0.620833333
High,14,0.438888889
High,15,0.366666667
High,16,0.464166667
High,17,0.619166667
High,18,0.408333333
High,19,0.280555556
High,20,0.313541667
High,21,0.163888889
High,22,0.416666667
High,23,0.402083333